Date,Hour,Floor,User-Group,User-Count,WiFi-Conn
2020-06-01,12,1,Others(HKUST),2,4
2020-06-01,12,1,RPG,12,39
2020-06-01,12,1,Staff,43,141
2020-06-01,12,1,TPG,12,45
2020-06-01,12,1,Total,85,298
2020-06-01,12,1,UG,15,65
2020-06-01,12,All-Floors,Alumni,9,33
2020-06-01,12,All-Floors,Non-HKUST,4,11
2020-06-01,12,All-Floors,Others(HKUST),5,17
2020-06-01,12,All-Floors,RPG,64,178
2020-06-01,12,All-Floors,Staff,124,340
2020-06-01,12,All-Floors,TPG,67,306
2020-06-01,12,All-Floors,Total,439,1676
2020-06-01,12,All-Floors,UG,166,791
2020-06-01,12,G,Alumni,2,5
2020-06-01,12,G,Non-HKUST,0,0
2020-06-01,12,G,Others(HKUST),1,2
2020-06-01,12,G,RPG,18,40
2020-06-01,12,G,Staff,53,110
2020-06-01,12,G,TPG,24,64
2020-06-01,12,G,Total,172,412
2020-06-01,12,G,UG,74,191
2020-06-01,12,LG1,Alumni,2,6
2020-06-01,12,LG1,Non-HKUST,2,4
2020-06-01,12,LG1,Others(HKUST),1,8
2020-06-01,12,LG1,RPG,8,29
2020-06-01,12,LG1,Staff,16,41
2020-06-01,12,LG1,TPG,26,121
2020-06-01,12,LG1,Total,136,571
2020-06-01,12,LG1,UG,81,362
2020-06-01,12,LG3,Alumni,3,14
2020-06-01,12,LG3,Non-HKUST,0,0
2020-06-01,12,LG3,Others(HKUST),0,0
2020-06-01,12,LG3,RPG,19,32
2020-06-01,12,LG3,Staff,14,19
2020-06-01,12,LG3,TPG,9,33
2020-06-01,12,LG3,Total,64,169
2020-06-01,12,LG3,UG,19,71
2020-06-01,12,LG4,Alumni,2,4
2020-06-01,12,LG4,Non-HKUST,2,7
2020-06-01,12,LG4,Others(HKUST),2,3
2020-06-01,12,LG4,RPG,19,38
2020-06-01,12,LG4,Staff,24,29
2020-06-01,12,LG4,TPG,8,43
2020-06-01,12,LG4,Total,86,226
2020-06-01,12,LG4,UG,29,102
2020-06-01,13,1,Alumni,1,6
2020-06-01,13,1,Non-HKUST,0,0
2020-06-01,13,1,Others(HKUST),1,3
2020-06-01,13,1,RPG,6,21
2020-06-01,13,1,Staff,35,127
2020-06-01,13,1,TPG,14,57
2020-06-01,13,1,Total,72,277
2020-06-01,13,1,UG,15,63
2020-06-01,13,All-Floors,Alumni,11,39
2020-06-01,13,All-Floors,Non-HKUST,6,17
2020-06-01,13,All-Floors,Others(HKUST),3,15
2020-06-01,13,All-Floors,RPG,54,203
2020-06-01,13,All-Floors,Staff,129,416
2020-06-01,13,All-Floors,TPG,83,415
2020-06-01,13,All-Floors,Total,487,2089
2020-06-01,13,All-Floors,UG,201,984
2020-06-01,13,G,Alumni,4,8
